Something 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
326	0.0037386	0.0037386	0.00528717	13.4773	0	1
327	0.00370121	0.00370121	0.0052343	13.4825	0	1
328	0.0036642	0.0036642	0.00518196	13.4877	0	1
329	0.00362756	0.00362756	0.00513014	13.4928	0	1
330	0.00359128	0.00359128	0.00507884	13.4979	0	1
331	0.00355537	0.00355537	0.00502805	13.5029	0	1
332	0.00351981	0.00351981	0.00497777	13.5079	0	1
333	0.00348462	0.00348462	0.00492799	13.5128	0	1
334	0.00344977	0.00344977	0.00487871	13.5177	0	1
335	0.00341527	0.00341527	0.00482992	13.5226	0	1
336	0.00338112	0.00338112	0.00478163	13.5273	0	1
337	0.00334731	0.00334731	0.00473381	13.5321	0	1
338	0.00331384	0.00331384	0.00468647	13.5368	0	1
339	0.0032807	0.0032807	0.00463961	13.5414	0	1
340	0.00324789	0.00324789	0.00459321	13.546	0	1
341	0.00321541	0.00321541	0.00454728	13.5505	0	1
342	0.00318326	0.00318326	0.00450181	13.555	0	1
343	0.00315142	0.00315142	0.00445679	13.5595	0	1
344	0.00311991	0.00311991	0.00441222	13.5639	0	1
345	0.00308871	0.00308871	0.0043681	13.5683	0	1
346	0.00305782	0.00305782	0.00432442	13.5726	0	1
347	0.00302725	0.00302725	0.00428117	13.5769	0	1
348	0.00299697	0.00299697	0.00423836	13.5811	0	1
349	0.002967	0.002967	0.00419598	13.5853	0	1
350	0.00293733	0.00293733	0.00415402	13.5895	0	1
351	0.00290796	0.00290796	0.00411248	13.5936	0	1
352	0.00287888	0.00287888	0.00407135	13.5977	0	1
353	0.00285009	0.00285009	0.00403064	13.6017	0	1
354	0.00282159	0.00282159	0.00399033	13.6057	0	1
355	0.00279338	0.00279338	0.00395043	13.6096	0	1
356	0.00276544	0.00276544	0.00391092	13.6135	0	1
357	0.00273779	0.00273779	0.00387182	13.6174	0	1
358	0.00271041	0.00271041	0.0038331	13.6212	0	1
359	0.00268331	0.00268331	0.00379477	13.625	0	1
360	0.00265647	0.00265647	0.00375682	13.6288	0	1
361	0.00262991	0.00262991	0.00371925	13.6325	0	1
362	0.00260361	0.00260361	0.00368206	13.6362	0	1
363	0.00257757	0.00257757	0.00364524	13.6398	0	1
364	0.0025518	0.0025518	0.00360879	13.6434	0	1
365	0.00252628	0.00252628	0.0035727	13.647	0	1
366	0.00250102	0.00250102	0.00353697	13.6506	0	1
367	0.00247601	0.00247601	0.0035016	13.6541	0	1
368	0.00245125	0.00245125	0.00346658	13.6575	0	1
369	0.00242673	0.00242673	0.00343192	13.661	0	1
370	0.00240247	0.00240247	0.0033976	13.6644	0	1
371	0.00237844	0.00237844	0.00336362	13.6677	0	1
372	0.00235466	0.00235466	0.00332999	13.671	0	1
373	0.00233111	0.00233111	0.00329669	13.6743	0	1
374	0.0023078	0.0023078	0.00326372	13.6776	0	1
375	0.00228472	0.00228472	0.00323108	13.6808	0	1
376	0.00226187	0.00226187	0.00319877	13.684	0	1
377	0.00223926	0.00223926	0.00316678	13.6872	0	1
378	0.00221686	0.00221686	0.00313512	13.6903	0	1
379	0.00219469	0.00219469	0.00310377	13.6934	0	1
380	0.00217275	0.00217275	0.00307273	13.6965	0	1
381	0.00215102	0.00215102	0.003042	13.6996	0	1
